Product,Brand,Quantity Sold,Region,Core Specification,Processor Specification,RAM,ROM,SSD,Price
1,9,7,1,4,9,8,64,0,47154
1,18,4,4,4,8,8,64,0,30976
0,16,7,2,2,5,6,1,512,44983
0,5,9,0,0,3,4,64,2048,57037
1,3,10,4,4,7,8,64,0,140787
1,9,9,3,4,1,6,1,0,91311
0,12,1,2,5,11,32,128,512,46989
1,9,4,0,4,10,12,512,0,79796
0,9,2,0,2,5,12,512,512,43683
0,4,5,1,8,14,32,64,512,16400
0,19,9,1,2,5,32,128,1024,98945
0,16,10,3,5,11,12,64,256,59820
1,19,1,4,4,8,32,512,0,186946
0,11,1,2,7,13,6,256,256,179263
1,12,8,1,4,8,6,256,0,56221
0,7,7,0,7,13,4,128,1024,75700
1,18,2,4,4,7,4,128,0,49282
0,15,8,4,8,14,8,256,1024,170771
1,13,4,0,4,9,6,256,0,115800
0,14,8,2,3,6,16,256,512,166260
1,17,8,4,4,10,6,256,0,49902
1,13,9,1,4,7,32,1,0,64818
1,1,10,0,4,7,4,128,0,66597
0,19,6,3,7,13,6,256,512,122030
0,1,10,4,5,11,8,256,2048,150198
1,9,2,4,4,9,4,128,0,170391
0,7,7,4,2,5,16,128,1024,11333
0,2,9,0,7,13,4,128,1024,108235
0,2,2,2,0,3,12,512,1024,134412
0,5,3,1,8,14,16,512,256,20799
0,2,10,3,8,14,12,512,2048,172640
1,15,3,0,4,0,16,256,0,79563
0,1,7,0,1,4,4,64,256,177532
1,0,9,4,4,1,12,1,0,149504
1,5,6,4,4,8,6,1,0,139545
0,13,9,2,6,12,32,64,512,146371
0,11,1,1,1,4,12,128,2048,142648
1,6,4,1,4,9,16,64,0,188903
1,14,4,3,4,2,6,1,0,65505
0,13,5,4,8,14,6,512,2048,108902
1,16,7,0,4,8,16,512,0,155702
1,11,1,3,4,10,4,1,0,58392
1,10,3,3,4,8,12,128,0,115838
0,1,2,4,5,11,12,512,2048,8877
1,7,7,2,4,1,4,128,0,155591
1,14,8,0,4,9,32,128,0,94364
0,5,3,4,7,13,16,256,512,143110
0,16,2,1,8,14,32,256,1024,56929
1,6,8,3,4,9,12,64,0,11439
1,11,6,3,4,2,32,256,0,130629
1,8,7,1,4,10,6,256,0,25237
1,9,5,4,4,10,32,1,0,68715
1,13,3,4,4,0,6,256,0,68955
0,8,1,2,0,3,4,128,256,135581
0,19,8,3,3,6,32,1,512,7015
0,9,3,4,2,5,32,128,2048,162166
1,15,7,4,4,1,6,256,0,69590
0,10,4,4,5,11,4,128,2048,118101
0,13,10,2,5,11,32,256,1024,150686
0,18,10,1,2,5,8,1,256,128606
0,2,3,4,0,3,12,64,1024,71067
1,9,5,3,4,10,6,512,0,154664
0,1,9,2,0,3,32,512,256,90665
1,11,9,1,4,8,6,128,0,47125
0,0,4,2,3,6,8,128,256,146114
0,7,8,0,5,11,16,512,2048,197075
1,9,8,1,4,9,4,64,0,144987
1,9,1,1,4,10,4,256,0,41820
1,16,3,0,4,9,32,512,0,56078
0,13,1,1,0,3,6,512,2048,100321
0,11,7,4,6,12,16,64,256,13588
0,11,1,1,7,13,16,256,512,136309
1,17,2,3,4,1,32,128,0,93961
1,5,6,3,4,8,8,1,0,56964
0,19,4,0,2,5,8,128,256,191149
0,4,7,0,1,4,4,256,1024,107654
0,1,7,1,2,5,12,512,2048,15497
0,11,4,2,7,13,12,1,1024,60100
0,13,10,1,0,3,4,256,256,178421
0,0,8,3,1,4,8,128,256,62319
1,17,6,2,4,9,16,64,0,115337
1,7,8,1,4,9,8,1,0,128643
0,3,1,1,0,3,16,1,512,65217
0,14,10,1,3,6,8,64,256,79780
0,10,4,1,5,11,8,64,2048,151181
0,0,7,1,5,11,4,64,512,10719
1,6,6,1,4,1,8,256,0,55754
1,14,6,0,4,1,4,64,0,110906
1,5,10,3,4,8,32,64,0,174212
1,11,5,4,4,7,8,256,0,148622
1,8,1,0,4,9,12,256,0,136200
1,12,2,0,4,1,6,128,0,112448
1,4,5,1,4,7,6,512,0,121904
1,2,10,3,4,2,16,512,0,124068
1,2,9,0,4,10,4,512,0,155338
1,6,8,0,4,8,8,512,0,134280
0,4,8,4,5,11,32,1,512,85638
1,16,7,3,4,8,32,1,0,139790
1,9,6,3,4,1,16,512,0,197867
0,4,5,4,2,5,6,512,256,11534
1,13,9,1,4,8,16,1,0,170958
0,17,3,0,2,5,6,128,2048,197178
0,10,10,2,2,5,4,64,256,36342
0,8,5,3,0,3,4,256,2048,161210
1,12,10,3,4,9,8,512,0,170003
0,6,8,0,5,11,12,128,256,17243
0,13,3,1,3,6,6,64,512,125043
0,5,5,0,0,3,6,128,1024,184619
1,8,8,2,4,10,12,1,0,32511
0,17,9,4,2,5,4,64,1024,108200
1,5,8,0,4,1,4,256,0,166928
0,14,8,3,0,3,32,512,256,137198
0,2,10,0,6,12,4,64,1024,149766
0,14,6,2,0,3,4,128,256,137096
1,18,10,1,4,10,6,128,0,142083
1,0,9,3,4,9,32,128,0,149052
1,2,2,2,4,2,4,512,0,10357
1,12,1,4,4,2,32,64,0,42725
0,5,8,3,6,12,32,1,256,161273
1,0,10,2,4,9,6,512,0,84966
1,19,10,2,4,10,6,256,0,33059
0,3,9,0,8,14,12,1,256,186932
0,1,7,4,1,4,16,512,1024,160413
1,9,8,3,4,0,8,256,0,80306
0,16,6,3,6,12,6,256,2048,84156
1,10,10,4,4,1,12,1,0,104190
0,7,10,1,3,6,16,1,256,49596
1,1,1,0,4,10,32,512,0,66986
1,17,6,2,4,0,4,128,0,13471
1,3,7,3,4,1,32,512,0,9552
1,10,2,0,4,2,12,1,0,133410
1,19,6,1,4,10,4,512,0,161894
1,5,9,1,4,8,32,64,0,107937
0,18,6,3,2,5,8,256,256,80191
1,19,2,0,4,7,6,64,0,117404
1,9,1,2,4,7,16,512,0,10231
1,1,9,0,4,2,8,64,0,168378
0,9,7,3,3,6,32,1,1024,193541
1,18,8,0,4,9,4,256,0,23922
1,12,1,1,4,10,8,256,0,145349
0,16,1,4,1,4,4,64,256,30058
0,12,2,3,1,4,6,1,1024,68717
0,17,10,0,8,14,4,1,2048,89251
1,4,2,0,4,10,6,128,0,44965
0,5,7,1,6,12,32,64,256,162143
0,2,4,0,5,11,12,128,512,192855
1,11,9,0,4,2,16,1,0,114202
1,6,3,1,4,8,32,1,0,21871
0,9,8,4,5,11,8,256,512,146648
0,17,10,0,5,11,4,512,2048,199198
0,16,9,4,6,12,32,256,256,157754
1,19,1,3,4,8,8,256,0,64785
1,8,7,0,4,7,12,128,0,180483
1,0,7,3,4,10,32,1,0,134270
1,2,8,1,4,0,4,512,0,118159
1,13,2,3,4,2,8,1,0,83773
1,13,7,3,4,0,12,128,0,109952
0,8,2,3,7,13,12,512,256,180782
1,5,5,0,4,9,12,128,0,192931
1,13,10,4,4,0,6,64,0,190965
0,6,2,3,3,6,16,128,1024,187061
0,3,5,0,7,13,32,1,256,174203
0,13,9,1,1,4,6,256,1024,27590
0,1,8,0,8,14,12,1,1024,174093
1,10,6,1,4,9,4,128,0,117167
1,18,7,0,4,10,12,512,0,73496
0,18,3,1,7,13,16,512,256,97535
1,19,3,1,4,10,12,256,0,59524
1,16,5,2,4,10,8,256,0,29217
0,10,3,1,7,13,6,128,256,79152
1,0,1,4,4,10,6,64,0,94283
1,15,1,2,4,8,8,64,0,176264
1,2,1,0,4,8,12,1,0,104060
1,17,1,0,4,1,8,128,0,189697
1,12,7,3,4,9,16,128,0,197003
1,7,6,3,4,7,6,1,0,54466
0,3,2,0,6,12,32,256,512,198484
0,7,7,4,6,12,12,1,1024,134245
1,0,7,3,4,8,6,512,0,197343
1,3,9,2,4,7,6,512,0,162512
0,16,6,3,2,5,4,1,1024,194169
1,16,8,3,4,8,16,64,0,105702
1,9,2,0,4,7,16,64,0,131341
0,3,1,4,2,5,12,128,1024,139456
0,9,1,1,6,12,16,512,256,83235
0,13,1,0,1,4,32,128,1024,135467
0,15,3,3,2,5,12,256,512,25617
1,15,1,4,4,2,6,1,0,108439
0,7,9,0,7,13,16,256,256,123207
0,1,9,3,7,13,6,64,256,45370
0,15,1,4,5,11,6,256,512,69894
0,19,4,2,1,4,6,128,256,169309
1,2,5,3,4,2,8,1,0,50651
0,12,6,1,3,6,32,64,1024,199788
1,18,7,1,4,1,12,1,0,100888
0,18,5,0,2,5,6,512,512,21140
0,6,5,4,0,3,8,128,512,58996
1,5,1,4,4,10,6,512,0,135076
1,1,4,4,4,1,16,1,0,182404
0,16,7,4,8,14,32,64,1024,190791
0,2,2,4,7,13,6,64,512,115958
0,10,9,3,8,14,16,256,512,93139
0,13,3,2,2,5,32,64,1024,14543
1,9,8,1,4,2,32,256,0,69080
1,18,9,1,4,0,4,1,0,154636
1,0,1,4,4,1,16,256,0,142112
0,5,6,4,0,3,8,1,512,163011
0,18,4,4,8,14,8,1,256,190114
0,11,10,3,0,3,32,1,1024,161020
1,3,10,3,4,10,8,256,0,28081
0,9,4,2,3,6,6,128,1024,194512
1,3,2,0,4,9,16,1,0,146440
1,1,6,1,4,9,32,512,0,160587
1,3,10,4,4,7,12,256,0,99213
0,5,8,2,6,12,4,256,1024,105871
1,12,2,1,4,8,4,512,0,198341
1,18,10,3,4,8,6,512,0,80584
1,19,3,0,4,7,4,128,0,5620
0,9,1,0,2,5,32,256,2048,11883
1,5,2,4,4,9,12,64,0,13500
0,6,5,3,1,4,16,128,2048,179804
0,5,10,1,3,6,12,128,256,121070
1,4,7,2,4,10,12,1,0,105638
1,6,2,2,4,1,16,512,0,80759
0,19,1,4,1,4,4,1,256,87729
1,18,2,4,4,1,4,256,0,31533
0,1,9,3,5,11,32,64,512,13904
1,10,4,4,4,8,4,64,0,9949
0,1,8,4,6,12,16,256,256,137442
1,17,5,4,4,9,6,1,0,162779
1,0,9,0,4,9,32,64,0,15819
0,10,5,4,3,6,4,128,2048,184047
1,17,4,4,4,0,16,512,0,154861
0,0,2,4,1,4,12,128,512,140714
1,3,10,2,4,8,12,64,0,17937
1,14,6,3,4,9,4,128,0,107560
1,19,8,1,4,2,16,512,0,144399
1,16,7,4,4,10,12,256,0,141660
1,18,3,3,4,9,12,128,0,134547
1,1,3,0,4,0,6,64,0,162771
1,13,5,1,4,2,12,128,0,106674
1,7,6,1,4,2,8,64,0,40160
0,1,5,0,6,12,16,1,2048,88001
1,3,3,1,4,7,6,512,0,175882
0,3,1,4,5,11,16,64,1024,60146
0,8,3,0,2,5,8,128,256,42273
1,3,9,1,4,9,12,256,0,111476
1,9,6,0,4,0,12,1,0,143835
0,7,8,1,8,14,8,256,2048,131220
0,7,10,4,7,13,4,64,2048,56130
0,0,4,0,2,5,16,128,2048,11155
1,19,10,4,4,2,6,512,0,91426
1,1,3,4,4,10,12,64,0,136835
1,16,2,4,4,8,4,64,0,126593
1,12,6,3,4,0,16,128,0,152180
1,3,5,3,4,9,32,64,0,67581
1,14,9,1,4,7,8,1,0,124564
1,8,3,0,4,0,16,256,0,183430
1,8,7,4,4,10,12,1,0,37461
1,19,8,0,4,8,4,64,0,199396
1,16,4,2,4,9,32,256,0,31845
0,14,4,1,7,13,4,512,256,141712
1,7,7,2,4,0,12,64,0,50999
0,7,10,4,5,11,8,512,256,164169
0,7,3,4,1,4,8,128,256,7660
1,1,5,2,4,2,12,64,0,159997
0,18,5,4,3,6,8,1,512,139350
0,9,2,0,6,12,32,128,1024,69410
1,11,5,4,4,2,16,512,0,32474
1,9,6,3,4,1,16,1,0,12447
0,7,1,0,6,12,4,64,1024,128815
1,5,6,3,4,9,6,1,0,62945
1,4,8,4,4,2,16,256,0,108640
0,11,8,3,5,11,6,128,2048,141477
1,6,4,0,4,9,32,512,0,198031
1,1,4,0,4,8,12,128,0,76020
0,2,6,2,6,12,6,128,1024,182764
0,2,2,4,8,14,6,512,1024,88752
1,13,10,0,4,2,6,128,0,197284
0,15,7,4,2,5,12,128,512,171813
1,2,6,0,4,10,16,512,0,112043
1,10,8,4,4,9,6,128,0,138720
1,5,3,4,4,2,8,128,0,128708
0,11,1,4,2,5,16,128,512,16468
0,5,7,2,0,3,16,128,1024,72290
0,1,6,0,6,12,8,128,2048,89016
0,14,10,0,6,12,8,256,256,99363
1,19,9,4,4,10,8,128,0,117839
0,7,3,3,5,11,32,128,1024,142020
0,11,1,0,3,6,16,64,256,94481
1,5,8,1,4,10,8,128,0,135951
1,4,6,2,4,8,32,256,0,53785
0,7,7,1,3,6,32,128,1024,135033
0,10,8,2,8,14,8,128,2048,189447
1,19,8,2,4,7,6,256,0,80010
1,12,9,4,4,2,8,64,0,138772
0,7,9,3,6,12,8,1,256,102652
1,13,8,1,4,10,4,64,0,27386
0,0,5,4,6,12,4,1,2048,174914
1,15,9,4,4,7,6,128,0,185200
0,18,5,0,8,14,16,128,1024,10360
1,3,9,4,4,1,8,512,0,35903
0,4,6,1,7,13,8,256,256,111915
1,0,7,3,4,7,4,128,0,52266
0,13,2,2,2,5,16,512,1024,130137
0,9,7,4,5,11,6,256,2048,190143
0,19,9,0,6,12,12,128,2048,112490
0,11,6,1,1,4,6,64,1024,45395
0,8,4,0,8,14,8,64,2048,29923
1,0,7,0,4,2,6,1,0,110984
0,9,9,4,6,12,12,1,512,34794
1,13,4,1,4,10,12,64,0,195973
1,16,9,1,4,8,8,256,0,142746
0,8,7,2,0,3,12,128,512,118247
0,4,3,1,2,5,32,1,512,103806
0,0,5,1,3,6,8,64,256,23458
1,5,3,3,4,7,12,128,0,131766
1,6,10,4,4,9,6,128,0,112641
0,2,1,3,0,3,16,512,2048,25331
0,0,5,3,0,3,8,1,512,92678
1,8,6,0,4,7,16,64,0,110742
1,5,5,0,4,9,16,1,0,127220
0,16,1,3,0,3,8,64,256,16761
1,10,2,3,4,2,8,128,0,134925
0,5,2,0,1,4,6,128,1024,60306
1,11,2,1,4,9,32,256,0,53593
0,19,4,0,1,4,6,64,2048,146929
0,7,1,0,5,11,12,128,1024,37772
1,10,2,0,4,7,4,512,0,117062
0,13,9,4,0,3,8,1,256,56901
1,13,10,4,4,2,12,256,0,187255
1,19,8,1,4,10,6,128,0,162401
0,5,2,0,0,3,6,128,256,22099
1,3,1,4,4,0,6,1,0,11012
0,5,5,3,2,5,32,64,1024,19744
0,18,7,1,5,11,6,512,512,58206
1,15,7,3,4,2,4,1,0,182331
1,4,8,0,4,9,12,512,0,125181
0,15,9,4,1,4,12,1,512,76806
1,7,6,4,4,7,12,256,0,43742
1,4,3,3,4,9,4,128,0,160525
0,13,10,0,2,5,32,1,1024,174473
0,3,3,1,1,4,16,512,512,52416
0,6,3,2,1,4,16,256,512,191991
0,2,4,1,0,3,6,256,512,59271
1,14,7,4,4,10,4,64,0,111609
1,11,3,0,4,8,6,1,0,69066
1,9,2,3,4,9,6,512,0,178709
0,10,7,4,1,4,4,128,2048,120344
1,15,4,2,4,1,16,64,0,181998
1,10,5,0,4,10,12,64,0,80974
1,2,7,0,4,9,16,128,0,175957
1,16,4,1,4,0,12,512,0,120601
1,18,2,0,4,7,32,64,0,196445
1,0,2,0,4,10,8,512,0,131642
0,15,10,1,0,3,16,64,1024,13314
1,9,2,3,4,2,8,1,0,47977
0,10,5,3,5,11,16,1,256,23691
1,13,4,1,4,1,32,128,0,184411
1,13,3,2,4,0,32,1,0,67704
1,19,5,1,4,1,6,256,0,122382
0,13,5,3,5,11,12,512,1024,33897
1,15,9,3,4,10,4,256,0,98884
1,18,1,3,4,1,4,128,0,160986
1,18,9,3,4,0,32,1,0,55457
1,3,5,2,4,9,12,512,0,157920
1,7,4,4,4,9,6,64,0,43459
0,19,9,1,0,3,16,256,1024,177444
1,2,1,2,4,8,32,64,0,159794
1,17,6,3,4,1,4,512,0,181239
0,18,1,3,8,14,16,64,1024,146923
0,2,5,3,5,11,16,1,2048,116381
1,0,8,3,4,1,8,128,0,40618
1,3,1,3,4,7,6,64,0,94493
1,2,6,2,4,7,16,512,0,136748
1,14,9,4,4,7,16,512,0,138546
0,12,4,1,5,11,6,512,256,111820
1,17,10,3,4,8,4,512,0,16927
1,8,7,2,4,7,12,64,0,181506
1,16,8,1,4,9,4,64,0,195364
1,18,6,0,4,8,16,64,0,50002
1,13,3,2,4,7,32,256,0,28746
1,5,9,1,4,2,32,128,0,41307
0,10,6,2,7,13,12,128,256,77798
0,2,7,4,8,14,32,256,256,100355
1,9,10,4,4,9,6,256,0,199125
1,11,4,0,4,0,4,256,0,53658
0,17,8,4,5,11,32,512,512,172918
0,16,1,1,0,3,4,512,256,183983
0,18,1,1,2,5,32,256,1024,123636
0,18,2,1,6,12,4,512,512,185189
0,16,9,2,3,6,12,256,2048,101250
1,4,10,0,4,8,32,256,0,69496
1,7,10,0,4,9,8,256,0,56832
0,15,10,4,6,12,12,256,256,160492
0,6,8,3,5,11,12,512,512,186985
0,13,1,2,5,11,8,128,256,187080
0,13,5,2,1,4,32,512,1024,110810
0,19,2,0,0,3,6,1,256,69126
1,19,9,4,4,0,8,1,0,61434
0,4,3,0,1,4,16,64,512,89665
1,13,1,2,4,8,4,1,0,110671
0,16,4,0,3,6,6,128,1024,40993
1,5,5,3,4,8,12,1,0,110623
1,9,8,1,4,7,6,512,0,127205
0,19,3,1,7,13,16,64,1024,142077
1,3,9,2,4,7,8,512,0,54247
0,18,4,0,3,6,32,64,2048,11189
0,9,8,3,3,6,16,1,2048,124325
1,16,4,3,4,8,4,512,0,140094
0,8,7,1,3,6,16,1,256,74170
1,5,10,4,4,7,8,64,0,135429
1,12,5,2,4,1,32,128,0,47159
1,16,5,3,4,9,32,64,0,91797
1,1,7,2,4,9,16,1,0,163037
1,17,3,4,4,1,6,64,0,103522
1,5,9,1,4,7,16,256,0,142471
0,7,4,1,2,5,6,256,512,127479
1,6,5,1,4,0,32,64,0,185222
1,5,10,0,4,7,16,64,0,18979
0,3,3,4,0,3,6,128,1024,139206
0,19,8,1,3,6,6,64,256,149277
1,17,1,4,4,8,6,1,0,16759
0,5,5,2,1,4,4,64,2048,38628
1,4,10,2,4,7,4,128,0,166751
1,17,10,4,4,7,8,512,0,169885
0,3,2,2,0,3,4,1,2048,141904
1,4,4,0,4,2,6,1,0,181368
1,15,9,2,4,1,6,128,0,32351
1,18,2,2,4,9,16,1,0,41327
0,14,3,3,7,13,6,256,256,169657
1,14,10,2,4,2,12,64,0,5875
1,15,10,3,4,1,32,128,0,82474
1,1,4,3,4,9,4,256,0,88399
0,17,3,0,2,5,16,512,1024,64507
0,2,4,3,6,12,6,256,2048,148574
1,11,7,4,4,9,32,256,0,136842
1,3,4,0,4,7,12,512,0,17452
1,8,1,3,4,8,16,256,0,104206
0,12,8,4,1,4,4,128,2048,28609
0,10,7,2,7,13,32,128,2048,80037
1,4,2,1,4,9,6,128,0,156326
1,14,6,2,4,2,6,512,0,37375
0,6,6,2,8,14,6,512,256,70139
1,4,9,2,4,10,4,64,0,67804
0,12,8,0,2,5,6,64,2048,42751
0,18,8,3,0,3,8,512,512,169590
1,0,8,3,4,10,32,64,0,63630
1,5,6,4,4,2,6,512,0,52383
0,10,9,3,7,13,6,64,256,91062
0,17,4,0,2,5,8,512,1024,39626
1,0,8,3,4,2,6,128,0,83224
1,13,2,3,4,0,6,64,0,73633
0,1,8,4,7,13,16,64,256,7539
0,5,7,4,6,12,6,64,2048,173078
1,18,5,2,4,1,32,512,0,121302
1,17,8,0,4,0,12,256,0,118382
1,9,2,1,4,7,12,512,0,148622
0,13,1,4,3,6,4,128,256,68103
1,8,5,0,4,10,32,64,0,29593
1,15,2,2,4,7,12,512,0,145967
1,17,9,2,4,7,12,1,0,182402
1,16,4,1,4,9,16,64,0,27903
0,6,7,2,8,14,12,1,2048,193632
1,5,4,1,4,0,32,64,0,190636
0,18,5,3,8,14,12,512,512,36796
1,19,6,3,4,0,4,1,0,156857
1,5,1,3,4,1,8,256,0,33314
0,5,9,1,1,4,32,128,2048,37034
1,16,2,4,4,10,32,512,0,62715
0,4,6,3,3,6,32,256,1024,102113
0,3,8,0,2,5,8,128,512,48833
1,7,2,4,4,1,4,64,0,117462
0,14,5,2,1,4,6,1,256,61525
1,19,6,4,4,8,4,256,0,11639
1,19,1,2,4,1,4,512,0,87205
1,17,4,4,4,10,6,1,0,188852
1,2,5,0,4,7,4,64,0,67543
1,7,3,1,4,0,8,128,0,88701
1,19,5,2,4,8,4,512,0,131470
1,14,5,2,4,2,8,64,0,109156
0,19,7,2,0,3,8,128,2048,13649
1,15,6,3,4,7,16,64,0,162135
1,7,1,0,4,8,16,1,0,38029
0,9,7,2,7,13,32,512,512,133429
0,10,1,4,1,4,16,256,2048,14555
1,16,3,0,4,1,4,256,0,90531
1,12,2,3,4,0,4,512,0,145845
0,3,9,2,5,11,4,256,512,124117
0,10,10,4,7,13,32,64,2048,127828
0,3,1,4,1,4,16,1,1024,147731
0,6,10,0,1,4,8,128,256,117360
0,12,2,2,3,6,12,256,2048,165839
1,17,9,4,4,7,16,256,0,145202
0,13,5,3,6,12,12,256,256,61922
1,16,6,2,4,8,6,256,0,115488
0,15,2,0,8,14,12,128,2048,133392
0,3,7,3,2,5,32,128,512,139865
1,2,2,2,4,8,32,128,0,89281
1,7,9,0,4,9,16,128,0,43626
1,7,9,3,4,10,16,64,0,26388
1,12,6,2,4,1,12,1,0,153580
0,0,1,3,5,11,16,256,512,104355
0,8,6,4,7,13,4,256,512,137538
0,13,5,4,0,3,16,128,256,174701
0,9,7,0,7,13,6,1,256,95112
0,8,8,1,6,12,32,256,512,92806
1,17,6,0,4,2,16,64,0,119549
0,6,5,0,6,12,32,128,512,6682
1,5,5,1,4,10,12,64,0,189710
0,2,10,4,2,5,12,1,256,166937
0,3,6,1,6,12,6,1,512,93838
0,4,1,1,6,12,12,256,256,156202
1,0,4,0,4,7,32,256,0,46847
0,15,3,0,7,13,6,256,512,179494
1,9,2,2,4,1,4,1,0,165303
0,5,1,4,0,3,4,256,1024,69983
1,2,8,3,4,8,8,256,0,117962
0,19,1,4,0,3,32,1,1024,62981
1,1,1,2,4,10,16,512,0,119508
0,8,4,3,5,11,16,256,256,135178
1,5,7,3,4,0,6,64,0,52407
0,19,7,2,1,4,4,256,512,65793
0,0,10,0,8,14,4,256,1024,10611
0,15,5,3,3,6,6,128,256,73166
0,9,1,1,7,13,4,64,256,14063
1,8,8,0,4,1,8,512,0,123339
1,14,2,4,4,10,4,1,0,93488
0,2,1,4,2,5,4,128,2048,185136
0,17,5,1,1,4,6,128,2048,174030
1,9,3,3,4,2,32,128,0,21043
1,7,5,2,4,8,6,1,0,187084
0,15,3,4,5,11,6,64,256,71603
1,10,1,4,4,2,8,256,0,30594
1,2,6,2,4,1,12,512,0,131506
0,6,4,0,0,3,6,512,2048,50900
1,2,10,4,4,10,4,128,0,97930
0,5,4,3,1,4,32,512,2048,119067
0,19,1,3,2,5,4,512,256,93118
1,19,5,4,4,2,8,64,0,25920
1,13,2,4,4,9,8,64,0,11089
0,4,7,1,0,3,12,128,512,143501
0,7,2,0,8,14,12,256,512,8938
1,6,1,4,4,7,6,512,0,97669
0,4,10,2,6,12,16,64,1024,77197
1,5,7,0,4,8,12,256,0,39841
0,4,3,2,8,14,6,64,1024,48082
0,1,1,1,7,13,32,1,512,108158
1,3,1,2,4,10,8,512,0,7328
0,10,1,2,7,13,32,256,256,169442
1,10,3,1,4,8,8,512,0,126200
1,7,5,1,4,0,6,1,0,163388
1,5,7,4,4,2,12,512,0,197795
0,16,10,1,2,5,12,64,512,174429
1,3,3,0,4,1,6,128,0,22384
0,8,2,2,2,5,32,128,2048,93608
1,15,6,1,4,10,4,512,0,101376
0,14,9,0,2,5,6,512,1024,185178
0,9,9,4,3,6,8,1,256,94220
0,1,6,2,2,5,16,256,1024,142286
0,19,7,4,1,4,16,1,256,56607
0,16,5,2,7,13,12,256,2048,199091
0,3,2,3,8,14,32,64,512,162293
1,18,1,1,4,2,8,128,0,111409
1,1,7,1,4,10,6,1,0,45657
0,18,5,0,8,14,4,256,2048,46443
0,16,3,2,8,14,4,128,256,44150
1,1,9,4,4,2,12,256,0,94798
1,7,10,1,4,0,4,128,0,14236
1,15,2,2,4,2,12,256,0,44524
0,9,7,3,2,5,4,1,512,82177
0,16,3,2,3,6,8,1,2048,7735
1,9,10,0,4,7,12,64,0,141839
1,17,8,0,4,7,16,64,0,159158
0,5,4,4,1,4,4,512,2048,150717
1,12,3,1,4,7,8,256,0,193047
1,8,3,1,4,8,16,128,0,125478
0,0,8,3,6,12,12,256,2048,69366
0,12,9,1,3,6,12,128,2048,44631
1,18,5,2,4,1,32,256,0,36945
0,0,6,0,2,5,16,1,1024,123980
0,15,5,4,2,5,6,256,512,81389
0,7,9,3,1,4,8,512,1024,136791
0,15,1,2,3,6,4,256,1024,120802
1,19,5,1,4,10,8,64,0,66481
